  x                     y
-----------------------------------------
-1.57   8.499461883020338
-1.39   6.845024416805994
-1.20   7.0814561446388105
-1.02   8.343661524676973
-0.83   9.645133844792587
-0.65   9.290196598714974
-0.46   6.698298442738982
-0.28   3.6863732659240878
-0.09   1.5631944262365827
0.09    0.6397156893704624
0.27    0.2824405552673751
0.46    0.1492916460125794
0.64    0.10864762043833663
0.83    0.10367922478752334
1.01    0.11867564391545761
1.20    0.14121389437073256
1.38    0.14669633216199712
1.57    0.11765450728095313


